Residents Weekly Confirmed COVID-19,Percentage of Current Residents Up to Date with COVID-19 Vaccines
0.0,40.4
5.0,24.6
7.0,1.8
1.0,4.2
2.0,6.8
3.0,49.6
30.0,1.0
6.0,46.4
4.0,35.7
10.0,37.0
19.0,43.2
8.0,3.8
11.0,37.2
14.0,39.0
9.0,37.5
13.0,15.6
16.0,14.2
12.0,36.3
15.0,32.4
28.0,8.6
23.0,47.7
36.0,0.1
18.0,35.5
26.0,44.4
20.0,5.2
22.0,18.7
21.0,3.4
32.0,30.2
17.0,23.4
29.0,0.5
33.0,35.5
27.0,6.6
42.0,44.1
38.0,9.1
31.0,44.7
24.0,33.7
25.0,0.3
44.0,10.0
35.0,2.8
54.0,0.0
37.0,21.9
57.0,0.0
78.0,0.0
53.0,35.9
39.0,33.5
34.0,0.0
41.0,32.0
47.0,26.2
46.0,1.4
60.0,0.0
72.0,0.0
48.0,34.8
45.0,4.0
52.0,0.0
56.0,0.0
40.0,4.9
43.0,5.6
65.0,0.0
49.0,1.5
51.0,1.3
58.0,0.0
79.0,0.0
50.0,0.0
55.0,0.9
67.0,0.0
62.0,0.0
82.0,0.0
86.0,41.2
61.0,0.0
66.0,0.0
93.0,0.0
64.0,32.4
68.0,41.5
80.0,82.463
84.0,41.2
70.0,33.824
