Week Ending,Residents Weekly Confirmed COVID-19,Percentage of Current Residents Up to Date with COVID-19 Vaccines,Average Cases of COVID-19,Total Entries,Week Number
2021-05-30,318.0,0.0,0,7559,1
2021-06-06,324.0,0.0,0,11245,2
2021-06-13,356.0,0.0,0,14135,3
2021-06-20,309.0,0.0,0,14576,4
2021-06-27,346.0,0.0,0,14567,5
2021-07-04,477.0,0.0,0,14663,6
2021-07-11,508.0,0.0,0,14801,7
2021-07-18,802.0,0.0,0,14811,8
2021-07-25,1478.0,0.0,0,14847,9
2021-08-01,2299.0,0.0,0,14877,10
2021-08-08,3286.0,0.0,0,14899,11
2021-08-15,4053.0,0.0,0,14918,12
2021-08-22,4703.0,0.0,0,14906,13
2021-08-29,5259.0,0.0,0,14816,14
2021-09-05,5271.0,0.0,0,14893,15
2021-09-12,5361.0,0.0,0,14880,16
2021-09-19,5259.0,0.0,0,14859,17
2021-09-26,4617.0,0.0,0,14879,18
2021-10-03,4156.0,0.0,0,14940,19
2021-10-10,4022.0,0.0,0,14913,20
2021-10-17,3721.0,0.0,0,14934,21
2021-10-24,3132.0,0.0,0,14935,22
2021-10-31,3057.0,0.0,0,14846,23
2021-11-07,3333.0,0.0,0,14941,24
2021-11-14,3897.0,0.0,0,14937,25
2021-11-21,4307.0,0.0,0,14937,26
2021-11-28,4439.0,0.0,0,14900,27
2021-12-05,4756.0,0.0,0,14972,28
2021-12-12,4641.0,0.0,0,14976,29
2021-12-19,4334.0,0.0,0,14979,30
2021-12-26,6485.0,0.0,0,14961,31
2022-01-02,18194.0,0.0,1,14962,32
2022-01-09,38000.0,0.0,3,14954,33
2022-01-16,48659.0,0.0,3,14941,34
2022-01-23,49218.0,0.0,3,14956,35
2022-01-30,37921.0,0.0,3,14907,36
2022-02-06,25280.0,0.0,2,14974,37
2022-02-13,16390.0,0.0,1,14978,38
2022-02-20,10099.0,0.0,1,14977,39
2022-02-27,6081.0,0.0,0,14940,40
2022-03-06,3764.0,0.0,0,14989,41
2022-03-13,2611.0,0.0,0,14980,42
2022-03-20,1867.0,0.0,0,14973,43
2022-03-27,1290.0,0.0,0,14936,44
2022-04-03,1224.0,0.0,0,14955,45
2022-04-10,1644.0,0.0,0,14962,46
2022-04-17,2468.0,0.0,0,14957,47
2022-04-24,3162.0,0.0,0,14951,48
2022-05-01,4675.0,0.0,0,14942,49
2022-05-08,6179.0,0.0,0,14943,50
2022-05-15,7265.0,0.0,0,14944,51
2022-05-22,9148.0,0.0,1,14934,52
2022-05-29,8554.0,0.0,1,14831,53
2022-06-05,8806.0,82.8,1,14902,54
2022-06-12,8492.0,47.0,1,14822,55
2022-06-19,8647.0,87.6,1,14876,56
2022-06-26,9128.0,59.7,1,14857,57
2022-07-03,11249.0,62.1,1,14896,58
2022-07-10,11901.0,75.1,1,14901,59
2022-07-17,13368.0,71.4,1,14895,60
2022-07-24,15118.0,54.2,1,14866,61
2022-07-31,14313.0,27.0,1,14757,62
2022-08-07,14564.0,73.4,1,14864,63
2022-08-14,13542.0,35.0,1,14861,64
2022-08-21,12330.0,28.2,1,14870,65
2022-08-28,11129.0,69.6,1,14826,66
2022-09-04,10562.0,61.0,1,14859,67
2022-09-11,9238.0,28.5,1,14854,68
2022-09-18,9120.0,39.2,1,14838,69
2022-09-25,8852.0,52.7,1,14775,70
2022-10-02,8397.0,40.8,1,14788,71
2022-10-09,9171.0,57.1,1,14736,72
2022-10-16,10184.0,18.6,1,14634,73
2022-10-23,6505.0,61.5,1,10274,74
