Week Ending,Residents Weekly Admissions COVID-19,Residents Weekly Confirmed COVID-19,Residents Weekly All Deaths,Residents Weekly COVID-19 Deaths,Number of All Beds,Number of Residents with a Completed Vaccination Staying in this Facility for At Least 1 Day This Week who Received a COVID-19 Vaccine Booster at Any Time,Number of Residents Staying in this Facility for At Least 1 Day This Week,Number of Residents Staying in this Facility for At Least 1 Day This Week who Received a Completed COVID-19 Vaccination at Any Time,Number of Residents Staying in this Facility for At Least 1 Day This Week who Received a Partial COVID-19 Vaccination at Any Time,Number of Residents Staying in this Facility for At Least 1 Day This Week with a Medical Contraindication to a COVID-19 Vaccine at Any Time,Number of Residents Staying in this Facility for At Least 1 Day This Week who were Offered but Declined a COVID-19 Vaccine at Any Time,Number of Residents with a New Positive COVID-19 Test Result,Number of Staff and/or Personnel with a New Positive COVID-19 Test Result,Number of All Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week who Received a Completed COVID-19 Vaccination at Any Time,Number of All Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week who Received a Partial COVID-19 Vaccination at Any Time,Number of All Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week with a Medical Contraindication to a COVID-19 Vaccine at Any Time,Number of All Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week who were Offered but Declined a COVID-19 Vaccine at Any Time,Number of All Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week with an Unknown COVID-19 Vaccination Status at Any Time
2020-05-24,26893.0,90009.0,70918.0,24816.0,1529050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-31,5910.0,11112.0,10357.0,3502.0,1566701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-07,5427.0,9397.0,9404.0,2757.0,1591472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-14,5055.0,7055.0,8679.0,2044.0,1597333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-21,4362.0,6476.0,8234.0,1717.0,1600860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-28,4262.0,7122.0,7906.0,1457.0,1601403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-05,4199.0,7444.0,8103.0,1435.0,1602452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-12,3971.0,9379.0,7982.0,1543.0,1606575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-19,4479.0,10775.0,8028.0,1662.0,1611339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-26,4902.0,12156.0,8214.0,2036.0,1610674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-02,4961.0,11346.0,8039.0,2089.0,1608417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
