Week Ending,Residents Weekly Admissions COVID-19,Residents Weekly Confirmed COVID-19,Residents Weekly All Deaths,Residents Weekly COVID-19 Deaths,Number of All Beds,Number of Residents with a Completed Vaccination Staying in this Facility for At Least 1 Day This Week who Received a COVID-19 Vaccine Booster at Any Time,Number of Residents Staying in this Facility for At Least 1 Day This Week,Number of Residents Staying in this Facility for At Least 1 Day This Week who Received a Completed COVID-19 Vaccination at Any Time,Number of Residents Staying in this Facility for At Least 1 Day This Week who Received a Partial COVID-19 Vaccination at Any Time,Number of Residents Staying in this Facility for At Least 1 Day This Week with a Medical Contraindication to a COVID-19 Vaccine at Any Time,Number of Residents Staying in this Facility for At Least 1 Day This Week who were Offered but Declined a COVID-19 Vaccine at Any Time,Number of Residents with a New Positive COVID-19 Test Result,Number of Staff and/or Personnel with a New Positive COVID-19 Test Result,Number of All Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week who Received a Completed COVID-19 Vaccination at Any Time,Number of All Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week who Received a Partial COVID-19 Vaccination at Any Time,Number of All Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week with a Medical Contraindication to a COVID-19 Vaccine at Any Time,Number of All Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week who were Offered but Declined a COVID-19 Vaccine at Any Time,Number of All Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week with an Unknown COVID-19 Vaccination Status at Any Time
2020-05-24,27633.0,91536.0,72967.0,25576.0,1539999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-31,5930.0,11198.0,10381.0,3530.0,1581339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-07,5457.0,9431.0,9534.0,2775.0,1597580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-14,5093.0,7063.0,8737.0,2058.0,1601674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-21,4375.0,6480.0,8258.0,1724.0,1603864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-28,4271.0,7123.0,7944.0,1458.0,1605197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-05,4207.0,7444.0,8117.0,1447.0,1606585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-12,3976.0,9478.0,8068.0,1550.0,1615751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-19,4525.0,10790.0,8083.0,1739.0,1615897.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-26,4924.0,12198.0,8240.0,2077.0,1616055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-02,4971.0,11346.0,8058.0,2122.0,1615249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-09,4822.0,11070.0,8049.0,2084.0,1614785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-16,4856.0,9742.0,8333.0,1914.0,1614580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-23,4372.0,8789.0,8100.0,1767.0,1614836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-30,4175.0,8357.0,7792.0,1557.0,1614570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-06,3624.0,7746.0,7373.0,1421.0,1605652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-13,3145.0,7008.0,7157.0,1272.0,1607483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-20,3228.0,7251.0,7106.0,1217.0,1614855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-27,2996.0,7389.0,7065.0,1198.0,1614441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-04,3050.0,7702.0,7032.0,1212.0,1614414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-11,3142.0,8292.0,7276.0,1256.0,1612635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-18,3336.0,10729.0,7282.0,1499.0,1611870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-25,3568.0,12153.0,7757.0,1817.0,1612672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,4089.0,14628.0,7978.0,2057.0,1612199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08,5029.0,18321.0,8864.0,2521.0,1611498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-15,6179.0,23771.0,9202.0,3014.0,1610272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-22,7579.0,25647.0,9989.0,3830.0,1609688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-29,7567.0,28359.0,11228.0,4575.0,1608860.0,0.0,0.0,0.0,0.0,0.0,0.0,29290.0,24530.0,0.0,0.0,0.0,0.0,0.0
2020-12-06,8856.0,32550.0,12126.0,5066.0,1609264.0,0.0,0.0,0.0,0.0,0.0,0.0,33784.0,28476.0,0.0,0.0,0.0,0.0,0.0
2020-12-13,10165.0,33760.0,12660.0,5825.0,1609888.0,0.0,0.0,0.0,0.0,0.0,0.0,34888.0,29115.0,0.0,0.0,0.0,0.0,0.0
2020-12-20,10444.0,34008.0,12843.0,6071.0,1608610.0,0.0,0.0,0.0,0.0,0.0,0.0,35184.0,28435.0,0.0,0.0,0.0,0.0,0.0
2020-12-27,9672.0,29297.0,12310.0,5651.0,1607835.0,0.0,0.0,0.0,0.0,0.0,0.0,30448.0,25536.0,0.0,0.0,0.0,0.0,0.0
2021-01-03,9489.0,27636.0,12148.0,5521.0,1606693.0,0.0,0.0,0.0,0.0,0.0,0.0,28536.0,25095.0,0.0,0.0,0.0,0.0,0.0
