Week Ending,Federal Provider Number,Provider City,Provider State,Provider Zip Code,County,Passed Quality Assurance Check,Residents Weekly Admissions COVID-19,Residents Total Admissions COVID-19,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly All Deaths,Residents Total All Deaths,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Staff Total Confirmed COVID-19,Staff Total COVID-19 Deaths,"Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Percentage of Current Residents who Received a Completed COVID-19 Vaccination at Any Time,Percentage of Current Residents who Received a Partial COVID-19 Vaccination at Any Time,Percentage of Current Residents who Received a Completed or Partial COVID-19 Vaccination at Any Time,Percentage of Current Healthcare Personnel who Received a Completed COVID-19 Vaccination at Any Time,Percentage of Current Healthcare Personnel who Received a Partial COVID-19 Vaccination at Any Time,Percentage of Current Healthcare Personnel who Received a Completed or Partial COVID-19 Vaccination at Any Time,Percentage of Current Residents with a Completed Vaccination who Received a COVID-19 Vaccine Booster at Any Time,Percentage of Current Residents with a Completed Vaccination who Received Only One COVID-19 Vaccine Booster,Percentage of Current Residents with a Completed Vaccination who Received Two or More COVID-19 Vaccine Boosters,Percentage of Current Residents Up to Date with COVID-19 Vaccines,Percentage of Current Residents with a Completed Vaccination Up to Date with COVID-19 Vaccines,Percentage of Current Healthcare Personnel with a Completed Vaccination who Received a COVID-19 Vaccine Booster at Any Time,Percentage of Current Healthcare Personnel Up to Date with COVID-19 Vaccines,Percentage of Current Healthcare Personnel with a Completed Vaccination Up to Date with COVID-19 Vaccines
1,335458,PAWLING,NY,12564,Dutchess,Y,0,3,0,28,2,50,0,8,122,63,0,269.23,76.92,85.981,0.935,86.916,98.795,1.205,100.0,79.348,0.0,0.0,0.0,0.0,18.293,0.0,0.0
2,335458,PAWLING,NY,12564,Dutchess,Y,0,3,1,29,2,52,0,8,122,85,0,266.06,73.39,86.364,0.909,87.273,98.83,1.17,100.0,76.842,0.0,0.0,0.0,0.0,18.935,0.0,0.0
3,335458,PAWLING,NY,12564,Dutchess,Y,0,3,1,30,0,52,0,8,122,101,0,275.23,73.39,87.611,0.0,87.611,98.802,1.198,100.0,75.758,0.0,0.0,0.0,0.0,20.606,0.0,0.0
4,335458,PAWLING,NY,12564,Dutchess,Y,0,3,12,42,0,52,0,8,122,107,0,375.0,71.43,86.607,0.0,86.607,99.422,0.578,100.0,75.258,0.0,0.0,0.0,0.0,19.767,0.0,0.0
5,335458,PAWLING,NY,12564,Dutchess,Y,0,3,7,49,0,52,0,8,122,113,0,453.7,74.07,85.217,0.0,85.217,98.305,1.695,100.0,74.49,0.0,0.0,0.0,0.0,22.989,0.0,0.0
6,335458,PAWLING,NY,12564,Dutchess,Y,0,3,0,49,4,56,4,12,122,115,0,471.15,115.38,85.714,0.0,85.714,98.315,1.685,100.0,78.125,0.0,0.0,0.0,0.0,22.857,0.0,0.0
7,335458,PAWLING,NY,12564,Dutchess,Y,0,3,0,49,1,57,0,12,122,115,0,494.95,121.21,85.047,0.935,85.981,98.851,1.149,100.0,74.725,0.0,0.0,0.0,0.0,26.744,0.0,0.0
8,335458,PAWLING,NY,12564,Dutchess,Y,0,3,0,49,2,59,0,12,122,116,0,505.15,123.71,83.168,0.99,84.158,99.429,0.571,100.0,80.952,0.0,0.0,0.0,0.0,26.437,0.0,0.0
9,335458,PAWLING,NY,12564,Dutchess,Y,0,3,0,49,1,60,0,12,122,116,0,515.79,126.32,85.0,0.0,85.0,99.419,0.581,100.0,78.824,0.0,0.0,0.0,0.0,42.105,0.0,0.0
10,335458,PAWLING,NY,12564,Dutchess,Y,0,3,0,49,0,60,0,12,122,116,0,515.79,126.32,84.848,0.0,84.848,99.415,0.585,100.0,79.762,0.0,0.0,0.0,0.0,42.353,0.0,0.0
